,NUTS_ID,CNTR_CODE,NAME_LATN,Node,lon,lat
0,DE24,DE,Oberfranken,DE4,11.37514,50.05094
1,UKF3,UK,Lincolnshire,UK2,-0.25078,53.11444
2,DE27,DE,Schwaben,DE4,10.51637,48.15884
3,DE30,DE,Berlin,DE4,13.40246,52.50127
4,DEG0,DE,Thüringen,DE4,11.02633,50.90367
5,DK01,DK,Hovedstaden,DK1,12.90566,55.69296
6,DK03,DK,Syddanmark,DK1,9.44911,55.35796
7,BE10,BE,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,BE2,4.37163,50.83634
8,BE21,BE,Prov. Antwerpen,BE2,4.71909,51.22937
9,BE22,BE,Prov. Limburg (BE),BE2,5.42905,50.99108
10,BE23,BE,Prov. Oost-Vlaanderen,BE2,3.81482,51.03633
11,DE14,DE,Tübingen,DE4,9.50107,48.13091
12,DK02,DK,Sjælland,DK1,11.70163,55.27987
13,DE26,DE,Unterfranken,DE4,9.94701,50.01134
14,DEE0,DE,Sachsen-Anhalt,DE4,11.70297,52.00893
15,DEF0,DE,Schleswig-Holstein,DE3,9.8202,54.17998
16,DE25,DE,Mittelfranken,DE4,10.78627,49.34732
17,UKE1,UK,East Yorkshire and Northern Lincolnshire,UK2,-0.49473,53.78687
18,UKE2,UK,North Yorkshire,UK2,-1.40792,54.18297
19,UKE3,UK,South Yorkshire,UK2,-1.33165,53.48441
20,UKE4,UK,West Yorkshire,UK2,-1.68885,53.74339
21,UKF1,UK,Derbyshire and Nottinghamshire,UK2,-1.34072,53.13189
22,UKF2,UK,Leicestershire Rutland and Northamptonshire,UK4,-0.95781,52.49341
23,DEA1,DE,Düsseldorf,DE1,6.59615,51.42999
24,BE33,BE,Prov. Liège,BE2,5.73702,50.52074
25,BE34,BE,Prov. Luxembourg (BE),BE2,5.51349,49.96095
26,BE35,BE,Prov. Namur,BE2,4.85181,50.25499
27,DEB1,DE,Koblenz,DE4,7.50467,50.25108
28,DE80,DE,Mecklenburg-Vorpommern,DE4,12.53314,53.75715
29,NL23,NL,Flevoland,NL3,5.51414,52.55011
30,NL31,NL,Utrecht,NL2,5.17329,52.0972
31,NL32,NL,Noord-Holland,NL2,4.91792,52.60046
32,NL33,NL,Zuid-Holland,NL1,4.48177,51.93728
33,NL34,NL,Zeeland,NL1,3.8449,51.46166
34,NL41,NL,Noord-Brabant,NL4,5.18428,51.56141
35,DE73,DE,Kassel,DE4,9.45625,51.05226
36,NL22,NL,Gelderland,NL4,5.93797,52.06151
37,DE91,DE,Braunschweig,DE4,10.34291,52.03648
38,DK05,DK,Nordjylland,DK1,9.67029,57.05098
39,NL42,NL,Limburg (NL),NL4,5.93337,51.20803
40,DEB2,DE,Trier,DE4,6.67503,49.9736
41,DEB3,DE,Rheinhessen-Pfalz,DE4,7.94352,49.46331
42,DEC0,DE,Saarland,DE4,6.9527,49.38467
43,DED2,DE,Dresden,DE4,14.13859,51.17087
44,DED4,DE,Chemnitz,DE4,12.78986,50.71666
45,DEA2,DE,Köln,DE1,6.80837,50.82517
46,DEA3,DE,Münster,DE1,7.41574,51.95047
47,DEA4,DE,Detmold,DE4,8.78504,51.93821
48,DEA5,DE,Arnsberg,DE4,8.00689,51.31551
49,DE60,DE,Hamburg,DE3,10.01177,53.54726
50,DE40,DE,Brandenburg,DE4,13.40416,52.46848
51,DE50,DE,Bremen,DE2,8.7371,53.21361
52,DE11,DE,Stuttgart,DE4,9.6249,49.01569
53,NL11,NL,Groningen,NL3,6.74215,53.21785
54,NL12,NL,Friesland (NL),NL3,5.79132,53.08592
55,NL13,NL,Drenthe,NL3,6.61872,52.86227
56,NL21,NL,Overijssel,NL4,6.44193,52.44533
57,DE71,DE,Darmstadt,DE4,8.75727,50.05855
58,DE72,DE,Gießen,DE4,8.74586,50.64749
59,DE92,DE,Hannover,DE4,9.35296,52.39504
60,DE93,DE,Lüneburg,DE3,9.78283,53.18183
61,BE25,BE,Prov. West-Vlaanderen,BE1,3.05602,51.01093
62,BE31,BE,Prov. Brabant Wallon,BE2,4.58459,50.66956
63,DE94,DE,Weser-Ems,DE2,7.77422,52.93918
64,DE21,DE,Oberbayern,DE4,11.75558,48.10038
65,DE22,DE,Niederbayern,DE4,12.78679,48.70717
66,DE23,DE,Oberpfalz,DE4,12.11764,49.39865
67,DED5,DE,Leipzig,DE4,12.67429,51.35885
68,BE24,BE,Prov. Vlaams-Brabant,BE2,4.5885,50.87292
69,DK04,DK,Midtjylland,DK1,9.36385,56.24368
70,BE32,BE,Prov. Hainaut,BE2,3.96274,50.46845
71,DE12,DE,Karlsruhe,DE4,8.67783,49.02049
72,DE13,DE,Freiburg,DE4,8.22339,48.02619
73,UKM7,UK,Eastern Scotland,UK3,-3.59446,56.40229
74,UKM8,UK,West Central Scotland,UK3,-4.37939,55.92566
75,UKM9,UK,Southern Scotland,UK3,-3.70235,55.35375
76,UKN0,UK,Northern Ireland,UK3,-6.69342,54.60952
77,UKD4,UK,Lancashire,UK2,-2.60965,53.83859
78,UKC1,UK,Tees Valley and Durham,UK2,-1.69012,54.66236
79,UKC2,UK,Northumberland and Tyne and Wear,UK2,-2.01907,55.21096
80,UKD1,UK,Cumbria,UK2,-2.89932,54.59061
81,UKD3,UK,Greater Manchester,UK2,-2.28503,53.51492
82,UKD6,UK,Cheshire,UK2,-2.5224,53.20471
83,UKD7,UK,Merseyside,UK2,-2.89787,53.43196
84,UKK3,UK,Cornwall and Isles of Scilly,UK4,-4.8341,50.40327
85,UKI5,UK,Outer London — East and North East,UK4,0.08658,51.55979
86,UKK4,UK,Devon,UK4,-3.81104,50.75244
87,UKL1,UK,West Wales and The Valleys,UK4,-4.03926,52.35575
88,UKI6,UK,Outer London — South,UK4,-0.07339,51.37256
89,UKI7,UK,Outer London — West and North West,UK4,-0.33487,51.53954
90,UKJ1,UK,Berkshire Buckinghamshire and Oxfordshire,UK4,-1.09654,51.71938
91,UKJ2,UK,Surrey East and West Sussex,UK4,-0.22168,51.04009
92,UKJ3,UK,Hampshire and Isle of Wight,UK4,-1.2881,51.02741
93,UKJ4,UK,Kent,UK1,0.72155,51.22974
94,UKK1,UK,Gloucestershire Wiltshire and Bristol/Bath area,UK4,-2.11182,51.52045
95,UKL2,UK,East Wales,UK4,-3.29406,52.28542
96,UKM5,UK,North Eastern Scotland,UK3,-2.61985,57.23833
97,UKM6,UK,Highlands and Islands,UK3,-4.81672,57.47728
98,UKG1,UK,Herefordshire Worcestershire and Warwickshire,UK4,-2.17977,52.20564
99,UKG2,UK,Shropshire and Staffordshire,UK4,-2.41781,52.73717
100,UKG3,UK,West Midlands,UK4,-1.87471,52.48828
101,UKH1,UK,East Anglia,UK1,0.73055,52.45306
102,UKH2,UK,Bedfordshire and Hertfordshire,UK4,-0.3172,51.93399
103,UKH3,UK,Essex,UK1,0.5527,51.79554
104,UKI3,UK,Inner London — West,UK4,-0.17894,51.49794
105,UKI4,UK,Inner London — East,UK4,-0.05414,51.50835
106,UKK2,UK,Dorset and Somerset,UK4,-2.66234,50.9705
107,NO0B,NO,Jan Mayen and Svalbard,NO1,17.91451,78.76792
108,NO0A,NO,Vestlandet,NO1,6.6886,61.05015
109,NO09,NO,Agder og Sør-Østlandet,NO1,8.18775,59.10675
110,NO02,NO,Innlandet,NO1,10.44138,61.43829
111,NO06,NO,Trøndelag,NO1,11.3575,63.75007
112,NO07,NO,Nord-Norge,NO1,20.30118,68.81661
113,NO08,NO,Oslo og Viken,NO1,9.9481,60.07981
